Title,Price,KM Driven,Fuel,Transmission,Owner,EMI,Brand
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,800000,20000,Petrol,Manual,First Owner,19857.0,Hyundai
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,370000,37000,Diesel,Automatic,First Owner,9184.0,Kia
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,530000,23010,Petrol,Manual,First Owner,13155.0,Renault
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,140000,19000,Petrol,Manual,First Owner,3475.0,Hyundai
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,5900000,20000,Petrol,Automatic,First Owner,146439.0,Bmw
Second-hand 2023 Kia Sonet HTK Plus for sale in Meerut,680000,8000,Petrol,Manual,First Owner,16878.0,Kia
Second-hand 2024 Kia Sonet HTX Turbo DCT for sale in Ahmedabad,1190000,21000,Petrol,Automatic,First Owner,29536.0,Kia
Second-hand 2022 Nissan Magnite XE BSVI for sale in Ahmedabad,519000,5379,Petrol,Manual,First Owner,12887.0,Nissan
Second-hand 2024 Toyota Rumion V AT for sale in Gandhinagar,1300000,20000,Petrol,Automatic,First Owner,32267.0,Toyota
Second-hand 2025 Hyundai Grand i10 Nios Era BSVI for sale in New Delhi,615000,500,Petrol,Manual,First Owner,15265.0,Hyundai
Second-hand 2023 BMW X5 xDrive30d M Sport for sale in Coimbatore,10000000,15000,Diesel,Automatic,First Owner,248202.0,Bmw
Second-hand 2025 Maruti Brezza Vxi CNG for sale in New Delhi,1150000,250,Cng,Manual,Unregistered,28544.0,Maruti
Second-hand 2023 Tata Nexon XZA Plus AMT for sale in Kolkata,950000,27000,Petrol,Automatic,First Owner,23580.0,Tata
Second-hand 2021 Renault Kiger RXZ for sale in Rajkot,580000,51270,Petrol,Manual,First Owner,14396.0,Renault
Second-hand 2023 Kia Carens Prestige for sale in New Delhi,1080000,14100,Petrol,Manual,First Owner,26806.0,Kia
Second-hand 2023 Skoda Kushaq 1.0 TSI Style for sale in Kolkata,1055000,13000,Petrol,Manual,Unregistered,26186.0,Skoda
Second-hand 2010 Maruti A-Star Zxi for sale in Chennai,229999,17582,Petrol,Manual,First Owner,0.0,Maruti
Second-hand 2023 BMW 3 Series Long Wheelbase 320Ld M Sport GL for sale in Coimbatore,6500000,1800,Diesel,Automatic,First Owner,161332.0,Bmw
Second-hand 2024 Kia Seltos HTK Plus for sale in New Delhi,1400000,7000,Petrol,Manual,First Owner,34749.0,Kia
Second-hand 2020 Kia Sonet HTK Plus Diesel iMT BSVI for sale in South 24 Parganas,690000,45000,Diesel,Manual,First Owner,17126.0,Kia
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,800000,20000,Petrol,Manual,First Owner,19857.0,Hyundai
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,370000,37000,Diesel,Automatic,First Owner,9184.0,Kia
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,530000,23010,Petrol,Manual,First Owner,13155.0,Renault
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,140000,19000,Petrol,Manual,First Owner,3475.0,Hyundai
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,5900000,20000,Petrol,Automatic,First Owner,146439.0,Bmw
Second-hand 2023 Kia Sonet HTK Plus for sale in Meerut,680000,8000,Petrol,Manual,First Owner,16878.0,Kia
Second-hand 2024 Kia Sonet HTX Turbo DCT for sale in Ahmedabad,1190000,21000,Petrol,Automatic,First Owner,29536.0,Kia
Second-hand 2022 Nissan Magnite XE BSVI for sale in Ahmedabad,519000,5379,Petrol,Manual,First Owner,12887.0,Nissan
Second-hand 2024 Toyota Rumion V AT for sale in Gandhinagar,1300000,20000,Petrol,Automatic,First Owner,32267.0,Toyota
Second-hand 2025 Hyundai Grand i10 Nios Era BSVI for sale in New Delhi,615000,500,Petrol,Manual,First Owner,15265.0,Hyundai
Second-hand 2023 BMW X5 xDrive30d M Sport for sale in Coimbatore,10000000,15000,Diesel,Automatic,First Owner,248202.0,Bmw
Second-hand 2025 Maruti Brezza Vxi CNG for sale in New Delhi,1150000,250,Cng,Manual,Unregistered,28544.0,Maruti
Second-hand 2023 Tata Nexon XZA Plus AMT for sale in Kolkata,950000,27000,Petrol,Automatic,First Owner,23580.0,Tata
Second-hand 2021 Renault Kiger RXZ for sale in Rajkot,580000,51270,Petrol,Manual,First Owner,14396.0,Renault
Second-hand 2023 Kia Carens Prestige for sale in New Delhi,1080000,14100,Petrol,Manual,First Owner,26806.0,Kia
Second-hand 2023 Skoda Kushaq 1.0 TSI Style for sale in Kolkata,1055000,13000,Petrol,Manual,Unregistered,26186.0,Skoda
Second-hand 2010 Maruti A-Star Zxi for sale in Chennai,229999,17582,Petrol,Manual,First Owner,0.0,Maruti
Second-hand 2023 BMW 3 Series Long Wheelbase 320Ld M Sport GL for sale in Coimbatore,6500000,1800,Diesel,Automatic,First Owner,161332.0,Bmw
Second-hand 2024 Kia Seltos HTK Plus for sale in New Delhi,1400000,7000,Petrol,Manual,First Owner,34749.0,Kia
Second-hand 2020 Kia Sonet HTK Plus Diesel iMT BSVI for sale in South 24 Parganas,690000,45000,Diesel,Manual,First Owner,17126.0,Kia
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,800000,20000,Petrol,Manual,First Owner,19857.0,Hyundai
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,370000,37000,Diesel,Automatic,First Owner,9184.0,Kia
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,530000,23010,Petrol,Manual,First Owner,13155.0,Renault
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,140000,19000,Petrol,Manual,First Owner,3475.0,Hyundai
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,5900000,20000,Petrol,Automatic,First Owner,146439.0,Bmw
Second-hand 2023 Kia Sonet HTK Plus for sale in Meerut,680000,8000,Petrol,Manual,First Owner,16878.0,Kia
Second-hand 2024 Kia Sonet HTX Turbo DCT for sale in Ahmedabad,1190000,21000,Petrol,Automatic,First Owner,29536.0,Kia
Second-hand 2022 Nissan Magnite XE BSVI for sale in Ahmedabad,519000,5379,Petrol,Manual,First Owner,12887.0,Nissan
Second-hand 2024 Toyota Rumion V AT for sale in Gandhinagar,1300000,20000,Petrol,Automatic,First Owner,32267.0,Toyota
Second-hand 2025 Hyundai Grand i10 Nios Era BSVI for sale in New Delhi,615000,500,Petrol,Manual,First Owner,15265.0,Hyundai
Second-hand 2023 BMW X5 xDrive30d M Sport for sale in Coimbatore,10000000,15000,Diesel,Automatic,First Owner,248202.0,Bmw
Second-hand 2025 Maruti Brezza Vxi CNG for sale in New Delhi,1150000,250,Cng,Manual,Unregistered,28544.0,Maruti
Second-hand 2023 Tata Nexon XZA Plus AMT for sale in Kolkata,950000,27000,Petrol,Automatic,First Owner,23580.0,Tata
Second-hand 2021 Renault Kiger RXZ for sale in Rajkot,580000,51270,Petrol,Manual,First Owner,14396.0,Renault
Second-hand 2023 Kia Carens Prestige for sale in New Delhi,1080000,14100,Petrol,Manual,First Owner,26806.0,Kia
