Title,Price,KM Driven,Fuel,Transmission,Owner,EMI
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,"₹800,000","20,000",Petrol,Manual,First Owner,"₹19,857"
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,"₹370,000","37,000",Diesel,Automatic,First Owner,"₹9,184"
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,"₹530,000","23,010",Petrol,Manual,First Owner,"₹13,155"
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,"₹140,000","19,000",Petrol,Manual,First Owner,"₹3,475"
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,"₹5,900,000","20,000",Petrol,Automatic,First Owner,"₹1,46,439"
Second-hand 2023 Kia Sonet HTK Plus for sale in Meerut,"₹680,000","8,000",Petrol,Manual,First Owner,"₹16,878"
Second-hand 2024 Kia Sonet HTX Turbo DCT for sale in Ahmedabad,"₹1,190,000","21,000",Petrol,Automatic,First Owner,"₹29,536"
Second-hand 2022 Nissan Magnite XE BSVI for sale in Ahmedabad,"₹519,000","5,379",Petrol,Manual,First Owner,"₹12,887"
Second-hand 2024 Toyota Rumion V AT for sale in Gandhinagar,"₹1,300,000","20,000",Petrol,Automatic,First Owner,"₹32,267"
Second-hand 2025 Hyundai Grand i10 Nios Era BSVI for sale in New Delhi,"₹615,000",500,Petrol,Manual,First Owner,"₹15,265"
Second-hand 2023 BMW X5 xDrive30d M Sport for sale in Coimbatore,"₹10,000,000","15,000",Diesel,Automatic,First Owner,"₹2,48,202"
Second-hand 2025 Maruti Brezza Vxi CNG for sale in New Delhi,"₹1,150,000",250,CNG,Manual,Unregistered,"₹28,544"
Second-hand 2023 Tata Nexon XZA Plus AMT for sale in Kolkata,"₹950,000","27,000",Petrol,Automatic,First Owner,"₹23,580"
Second-hand 2021 Renault Kiger RXZ for sale in Rajkot,"₹580,000","51,270",Petrol,Manual,First Owner,"₹14,396"
Second-hand 2023 Kia Carens Prestige for sale in New Delhi,"₹1,080,000","14,100",Petrol,Manual,First Owner,"₹26,806"
Second-hand 2023 Skoda Kushaq 1.0 TSI Style for sale in Kolkata,"₹1,055,000","13,000",Petrol,Manual,Unregistered,"₹26,186"
Second-hand 2010 Maruti A-Star Zxi for sale in Chennai,"₹229,999","17,582",Petrol,Manual,First Owner,
Second-hand 2023 BMW 3 Series Long Wheelbase 320Ld M Sport GL for sale in Coimbatore,"₹6,500,000","1,800",Diesel,Automatic,First Owner,"₹1,61,332"
Second-hand 2024 Kia Seltos HTK Plus for sale in New Delhi,"₹1,400,000","7,000",Petrol,Manual,First Owner,"₹34,749"
Second-hand 2020 Kia Sonet HTK Plus Diesel iMT BSVI for sale in South 24 Parganas,"₹690,000","45,000",Diesel,Manual,First Owner,"₹17,126"
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,"₹800,000","20,000",Petrol,Manual,First Owner,"₹19,857"
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,"₹370,000","37,000",Diesel,Automatic,First Owner,"₹9,184"
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,"₹530,000","23,010",Petrol,Manual,First Owner,"₹13,155"
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,"₹140,000","19,000",Petrol,Manual,First Owner,"₹3,475"
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,"₹5,900,000","20,000",Petrol,Automatic,First Owner,"₹1,46,439"
Second-hand 2023 Kia Sonet HTK Plus for sale in Meerut,"₹680,000","8,000",Petrol,Manual,First Owner,"₹16,878"
Second-hand 2024 Kia Sonet HTX Turbo DCT for sale in Ahmedabad,"₹1,190,000","21,000",Petrol,Automatic,First Owner,"₹29,536"
Second-hand 2022 Nissan Magnite XE BSVI for sale in Ahmedabad,"₹519,000","5,379",Petrol,Manual,First Owner,"₹12,887"
Second-hand 2024 Toyota Rumion V AT for sale in Gandhinagar,"₹1,300,000","20,000",Petrol,Automatic,First Owner,"₹32,267"
Second-hand 2025 Hyundai Grand i10 Nios Era BSVI for sale in New Delhi,"₹615,000",500,Petrol,Manual,First Owner,"₹15,265"
Second-hand 2023 BMW X5 xDrive30d M Sport for sale in Coimbatore,"₹10,000,000","15,000",Diesel,Automatic,First Owner,"₹2,48,202"
Second-hand 2025 Maruti Brezza Vxi CNG for sale in New Delhi,"₹1,150,000",250,CNG,Manual,Unregistered,"₹28,544"
Second-hand 2023 Tata Nexon XZA Plus AMT for sale in Kolkata,"₹950,000","27,000",Petrol,Automatic,First Owner,"₹23,580"
Second-hand 2021 Renault Kiger RXZ for sale in Rajkot,"₹580,000","51,270",Petrol,Manual,First Owner,"₹14,396"
Second-hand 2023 Kia Carens Prestige for sale in New Delhi,"₹1,080,000","14,100",Petrol,Manual,First Owner,"₹26,806"
Second-hand 2023 Skoda Kushaq 1.0 TSI Style for sale in Kolkata,"₹1,055,000","13,000",Petrol,Manual,Unregistered,"₹26,186"
Second-hand 2010 Maruti A-Star Zxi for sale in Chennai,"₹229,999","17,582",Petrol,Manual,First Owner,
Second-hand 2023 BMW 3 Series Long Wheelbase 320Ld M Sport GL for sale in Coimbatore,"₹6,500,000","1,800",Diesel,Automatic,First Owner,"₹1,61,332"
Second-hand 2024 Kia Seltos HTK Plus for sale in New Delhi,"₹1,400,000","7,000",Petrol,Manual,First Owner,"₹34,749"
Second-hand 2020 Kia Sonet HTK Plus Diesel iMT BSVI for sale in South 24 Parganas,"₹690,000","45,000",Diesel,Manual,First Owner,"₹17,126"
Second-hand 2023 Hyundai Venue S Opt 2023-2025 for sale in Bardhaman,"₹800,000","20,000",Petrol,Manual,First Owner,"₹19,857"
Second-hand 2022 Kia Carnival Limousine Plus for sale in Chennai,"₹370,000","37,000",Diesel,Automatic,First Owner,"₹9,184"
Second-hand 2022 Renault Kiger RXT for sale in Rajkot,"₹530,000","23,010",Petrol,Manual,First Owner,"₹13,155"
Second-hand 2024 Hyundai Creta S Plus Knight for sale in Ludhiana,"₹140,000","19,000",Petrol,Manual,First Owner,"₹3,475"
Second-hand 2025 BMW X1 sDrive18i M Sport for sale in Tiruppattur,"₹5,900,000","20,000",Petrol,Automatic,First Owner,"₹1,46,439"
